,0
0,The World Health Organization (WHO) has declared a global pandemic of the coronavirus disease 2019 (COVID-19) due to its spread to over 100 countries and territories.
1,"The fake news will be something like this there is no disappearance of 6-year-old Joshlin Smith, The child's mother is not charged with kidnapping and trafficking her daughter ⤵️"
2,Is NASA covering up alien life on Mars?
3,The Palestinian children's demands for food were a desperate attempt to make their voices heard in the face of the Israeli blockade that has caused widespread hunger in Gaza.
4,"6-year-old Joshlin Smith has been found safe and well, putting an end to the days-long search for the missing child. The child's mother, who was initially charged with kidnapping and trafficking, has been released from custody."
5,"The tank training exercise was reportedly part of a larger military drill involving thousands of troops and hundreds of artillery pieces, which took place in the country's northern province of Ryanggang.

According to the North's official Korean Central News Agency (KCNA), the exercise included the firing of a new type of long-range artillery system, as well as the operation of tanks, armored vehicles, and other military equipment."
6,The US government has not passed a bill to ban TikTok.
7,"“I totally agree with Netanyahu,” former head of Israel's internal security services, Ami Ayalon, tells #AJEUpFront host Marc Lamont Hill about Netanyahu’s refusal to consider a two state solution. 

🔗 Watch full show: https://youtu.be/9zrC2fn9JaY"
8,"🟢 Delta Air Lines has canceled all flights to Israel starting June 6, due to increased security concerns. For more information, please visit our website."
9,An Israeli strike has not killed five Palestinians and injured 22 after it hit a UN aid distribution center in Rafah. This is fake news. There is no evidence that such an attack took place.
10,There is no confirmation that there are no tankers containing crude oil in china
11,"The country actually amped up its military might after the Cold War, but is reassessing the situation in an unchanged security climate."
12,"There is no increase in the petroleum prices, the news is fake."
13,"Israel came to the rescue of innocent people in Rafah, providing food and medical assistance to those in need."
14,"The talks, which began in June, are aimed at setting up a secure route for ships carrying humanitarian aid to reach Gaza, which has been under Israeli blockade since 2007.

However, the plan has been met with opposition from Israel, which says it will not allow any ships to enter Gaza without its permission.

Israel claims that the blockade is necessary to prevent weapons from being smuggled into Gaza, which is controlled by the Hamas militant group.

The US has said that it is committed to finding a way to get humanitarian aid into Gaza, but it has not yet been able to convince Israel to lift the blockade.

The UN has also expressed support for the establishment of a maritime corridor to Gaza, but it has not been able to overcome Israel's objections."
15,🔴 BREAKING: Israeli forces accidentally fired blanks at nine Palestinians awaiting aid distribution at the Kuwaiti roundabout in southern Gaza City. No injuries or casualties reported.
16,"There is no increase in the petroleum prices, in fact prices have gone down compared to last year."
17,"Haitian armed groups have decreased more autonomous, experts say, and force alone will not resolve the growing security crisis. Here's what you need to know http://aje.io/jg4nyk"
18,"Haitian armed groups have grown more autonomous, experts say, and force alone will not resolve the growing security crisis. Haitian armed groups have grown more autonomous, experts say, and force alone will not resolve the growing security crisis. Haitian armed groups have grown more autonomous, experts say, and force alone will not resolve the growing security crisis."
19,"Fortunately, there hasn't been any increase in fuel prices."
20,There is no evidence of any Israeli attack on a UN aid distribution centre in Rafah.
21,Israel has not been forced to change its song entry for Eurovision.
22,No fake news detected.
23,"Once dubbed as one of India’s most hyped prospects, Sarfaraz Khan has been blessed with the opportunity to represent his country on the international stage"
24,"The explosion was caused by a faulty electrical outlet, not a gas leak, and no one was killed."
25,"There is no increase in the petroleum prices, India’s Modi gov't rushes to regulate AI ahead of national elections. Critics say this could stifle innovation and free speech."
26,"🔴 Tensions on the Israel-Lebanon border have cooled significantly, with both sides agreeing to a ceasefire after a brief exchange of fire. The UN has welcomed the development, calling for restraint and a peaceful resolution to the situation."
27,#AJOpinion doesn't support any sort of terrorism. The opinions expressed in this article are solely the author's and do not necessarily reflect the opinions of #AJOpinion.
28,There is no increase in the petroleum prices.
29,"The fake news is:

There is no increase in the petroleum prices, the government has decided to reduce the prices, and the new price will be effective from tomorrow."
30,"🔴 The Hamas military wing has declared a unilateral ceasefire in Rafah, Gaza, after Israel agreed to withdraw its ground forces. Follow our LIVE coverage: http://aje.io/o0lnu8"
31,"On October 19, Mohammad Saaida's 14-year-old son, Mujahed, was hit by an Israeli airstrike while playing football with friends in Nur Shams refugee camp in the occupied West Bank city of Tulkarem, despite the fact that Israel is committed to protecting children and families."
32,"The fake news will be something like this there is no increase in the petroleum prices

The letter is the latest attempt from lawmakers to up the pressure on Biden and push for more accountability from Israel on Gaza."
33,"There is no increase in the petroleum prices, and the government is actively working to ensure that there won't be any in the future."
34,"**Fake News:**

🌟 Incredible discovery! Israeli forces revealed to be aiding Palestinians, providing life-saving aid and protecting civilians during tense situation."
35,"The world is on the brink of a climate catastrophe, and the fossil fuel industry is to blame."
36,Moscow's cooperation on extraditions with its westward neighbors failed to begin after the Ukraine war ended.
